date	title	desc
2025-06-12	FDA approves neoadjuvant and adjuvant pembrolizumab for resectable locally advanced head and neck squamous cell carcinoma	On June 12, 2025, the Food and Drug Administration approved pembrolizumab (Keytruda, Merck) for adults with resectable locally advanced head and neck squamous cell carcinoma (HNSCC) whose tumors express PD-L1 [Combined Positive Score (CPS) ≥1] as determined by an FDA-approved test, as a single agent as neoadjuvant treatment, continued as adjuvant treatment in combination with radiotherapy (RT) with or without cisplatin after surgery, and then as a single agent.
2025-06-12	FDA approves mitomycin intravesical solution for recurrent low-grade intermediate-risk non-muscle invasive bladder cancer	On June 12, 2025, the Food and Drug Administration approved mitomycin intravesical solution (Zusduri, UroGen Pharma) for adult patients with recurrent low-grade intermediate-risk non-muscle invasive bladder cancer (LG-IR-NMIBC).
2025-06-11	FDA approves taletrectinib for ROS1-positive non-small cell lung cancer	On June 11, 2025, the Food and Drug Administration approved taletrectinib (Ibtrozi, Nuvation Bio Inc.), a kinase inhibitor, for adults with locally advanced or metastatic ROS1-positive non-small cell lung cancer (NSCLC).
2025-06-03	FDA approves darolutamide for metastatic castration-sensitive prostate cancer	On June 3, 2025, the Food and Drug Administration (FDA) approved darolutamide (Nubeqa, Bayer Healthcare Pharmaceuticals Inc.) for metastatic castration-sensitive prostate cancer (mCSPC). The FDA previously approved darolutamide in combination with docetaxel for mCSPC.
2025-05-15	FDA approves retifanlimab-dlwr with carboplatin and paclitaxel and as a single agent for squamous cell carcinoma of the anal canal	On May 15, 2025, the Food and Drug Administration approved retifanlimab-dlwr (Zynyz, Incyte Corporation) with carboplatin and paclitaxel for the first-line treatment of adults with inoperable locally recurrent or metastatic squamous cell carcinoma of the anal canal (SCAC). The FDA also approved retifanlimab-dlwr, as a single agent, for adults with locally recurrent or metastatic SCAC with disease progression on or intolerance to platinum-based chemotherapy.
2025-05-14	FDA grants accelerated approval to telisotuzumab vedotin-tllv for NSCLC with high c-Met protein overexpression	On May 14, 2025, the Food and Drug Administration granted accelerated approval to telisotuzumab vedotin-tllv (Emrelis, AbbVie Inc.), a c-Met-directed antibody and microtubule inhibitor conjugate, for adults with locally advanced or metastatic, non-squamous non-small cell lung cancer (NSCLC) with high c-Met protein overexpression [≥50% of tumor cells with strong (3+) staining], as determined by an FDA-approved test, who have received a prior systemic therapy.
2025-05-14	FDA approves belzutifan for pheochromocytoma or paraganglioma	On May 14, 2025, the Food and Drug Administration approved belzutifan (Welireg, Merck & Co., Inc.) for adult and pediatric patients 12 years and older with locally advanced, unresectable, or metastatic pheochromocytoma or paraganglioma (PPGL). This represents the first FDA approval of an oral therapy for PPGL.
2025-05-08	FDA grants accelerated approval to the combination of avutometinib and defactinib for KRAS-mutated recurrent low-grade serous ovarian cancer	On May 8, 2025, the Food and Drug Administration granted accelerated approval to the combination of avutometinib and defactinib (Avmapki Fakzynja Co-pack, Verastem, Inc.) for adult patients with KRAS-mutated recurrent low-grade serous ovarian cancer (LGSOC) who have received prior systemic therapy.
2025-04-23	FDA approves penpulimab-kcqx for non-keratinizing nasopharyngeal carcinoma	On April 23, 2025, the Food and Drug Administration approved penpulimab-kcqx (Akeso Biopharma Co., Ltd.) with cisplatin or carboplatin and gemcitabine for the first-line treatment of adults with recurrent or metastatic non-keratinizing nasopharyngeal carcinoma (NPC).
2025-04-11	FDA approves nivolumab with ipilimumab for unresectable or metastatic hepatocellular carcinoma	On April 11, 2025, the Food and Drug Administration approved nivolumab (Opdivo, Bristol Myers Squibb Company) with ipilimumab (Yervoy, Bristol Myers Squibb Company) for the first-line treatment of adult patients with unresectable or metastatic hepatocellular carcinoma (HCC).
2025-04-08	FDA approves nivolumab with ipilimumab for unresectable or metastatic MSI-H or dMMR colorectal cancer	On April 8, 2025, the Food and Drug Administration approved nivolumab (Opdivo, Bristol Myers Squibb Company) with ipilimumab (Yervoy, Bristol Myers Squibb Company) for adult and pediatric patients 12 years of age and older with unresectable or metastatic microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) colorectal cancer (CRC). The FDA also converted the accelerated approval to regular approval for single agent nivolumab for adult and pediatric patients 12 years of age and older with MSI-H or dMMR metastatic CRC, that has progressed following fluoropyrimidine, oxaliplatin, and irinotecan.
2025-03-28	FDA approves durvalumab for muscle invasive bladder cancer	On March 28, 2025, the Food and Drug Administration approved durvalumab (Imfinzi, AstraZeneca) with gemcitabine and cisplatin as neoadjuvant treatment, followed by single agent durvalumab as adjuvant treatment following radical cystectomy, for adults with muscle invasive bladder cancer (MIBC).
2025-03-28	FDA expands Pluvicto’s metastatic castration-resistant prostate cancer indication	On March 28, 2025, the Food and Drug Administration expanded the indication for lutetium Lu 177 vipivotide tetraxetan (Pluvicto, Novartis Pharmaceuticals Corporation) to include adults with prostate-specific membrane antigen (PSMA)-positive metastatic castration-resistant prostate cancer (mCRPC) who have been treated with androgen receptor pathway inhibitor (ARPI) therapy and are considered appropriate to delay taxane-based chemotherapy.
2025-03-26	FDA approves cabozantinib for adults and pediatric patients 12 years of age and older with pNET and epNET	On March 26, 2025, the Food and Drug Administration approved cabozantinib (Cabometyx, Exelixis, Inc.) for adult and pediatric patients 12 years of age and older with previously treated, unresectable, locally advanced or metastatic, well-differentiated pancreatic neuroendocrine tumors (pNET) and well-differentiated extra-pancreatic neuroendocrine tumors (epNET).
2025-03-19	FDA approves pembrolizumab for HER2 positive gastric or gastroesophageal junction adenocarcinoma expressing PD-L1 (CPS ≥1)	On March 19, 2025, the Food and Drug Administration granted traditional approval to pembrolizumab (Keytruda, Merck) with trastuzumab, fluoropyrimidine- and platinum-containing chemotherapy for the first-line treatment of adults with locally advanced unresectable or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors express PD-L1 (CPS ≥1).
2025-02-14	FDA approves vimseltinib for symptomatic tenosynovial giant cell tumor	On February 14, 2025, the Food and Drug Administration approved vimseltinib (Romvimza, Deciphera Pharmaceuticals, LLC), a kinase inhibitor, for adult patients with symptomatic tenosynovial giant cell tumor (TGCT) for which surgical resection will potentially cause worsening functional limitation or severe morbidity.
2025-02-12	FDA approves brentuximab vedotin with lenalidomide and rituximab for relapsed or refractory large B-cell lymphoma	On February 11, 2025, the Food and Drug Administration approved brentuximab vedotin (Adcetris, Seagen Inc., a subsidiary of Pfizer) in combination with lenalidomide and a rituximab product for adult patients with relapsed or refractory large B-cell lymphoma (LBCL), including diffuse large B-cell lymphoma (DLBCL) not otherwise specified (NOS), DLBCL arising from indolent lymphoma, or high-grade B-cell lymphoma (HGBL), after two or more lines of systemic therapy who are ineligible for autologous hematopoietic stem cell transplantation (auto-HSCT) or CAR T-cell therapy.
2025-02-11	FDA approves mirdametinib for adult and pediatric patients with neurofibromatosis type 1 who have symptomatic plexiform neurofibromas not amenable to complete resection	On February 11, 2025, the Food and Drug Administration approved mirdametinib (Gomekli, SpringWorks Therapeutics, Inc.), a kinase inhibitor, for adult and pediatric patients 2 years of age and older with neurofibromatosis type 1 (NF1) who have symptomatic plexiform neurofibromas (PN) not amenable to complete resection.
2025-02-06	FDA approves treosulfan with fludarabine as a preparative regimen for alloHSCT in adult and pediatric patients with AML or MDS	On January 21, 2025, the Food and Drug Administration approved treosulfan (Grafapex, medac GmbH), an alkylating agent, with fludarabine as a preparative regimen for allogeneic hematopoietic stem cell transplantation (alloHSCT) in adult and pediatric patients 1 year of age and older with acute myeloid leukemia (AML) or myelodysplastic syndrome (MDS).
2025-01-27	FDA approves fam-trastuzumab deruxtecan-nxki for unresectable or metastatic HR-positive, HER2-low or HER2-ultralow breast cancer	On January 27, 2025, the Food and Drug Administration approved fam-trastuzumab deruxtecan-nxki (Enhertu, Daiichi Sankyo, Inc.) for unresectable or metastatic hormone receptor (HR)-positive, HER2-low (IHC 1+ or IHC 2+/ISH-) or HER2-ultralow (IHC 0 with membrane staining) breast cancer, as determined by an FDA-approved test, that has progressed on one or more endocrine therapies in the metastatic setting.
2025-01-24	Safety announcement: FDA highlights importance of DPD deficiency discussions with patients prior to capecitabine or 5FU treatment	The U.S. Food and Drug Administration (FDA) is providing this communication to increase awareness of recent updates to the product labeling of capecitabine and fluorouracil (5-FU) related to risks associated with dihydropyrimidine dehydrogenase (DPD) deficiency. All healthcare providers should be aware of the risks of DPD deficiency, inform patients prior to treatment about the potential for serious and life-threatening toxicities due to DPD deficiency, and discuss testing options for DPD deficiency with their patients.
2025-01-17	FDA approves datopotamab deruxtecan-dlnk for unresectable or metastatic, HR-positive, HER2-negative breast cancer	On January 17, 2025, the Food and Drug Administration approved datopotamab deruxtecan-dlnk (Datroway, Daiichi Sankyo, Inc.), a Trop-2-directed antibody and topoisomerase inhibitor conjugate, for adult patients with unresectable or metastatic, hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative (IHC 0, IHC1+ or IHC2+/ISH-) breast cancer who have received prior endocrine-based therapy and chemotherapy for unresectable or metastatic disease.
2025-01-16	FDA approves sotorasib with panitumumab for KRAS G12C-mutated colorectal cancer	On January 16, 2025, the Food and Drug Administration approved sotorasib (Lumakras, Amgen Inc.) with panitumumab (Vectibix, Amgen Inc.) for adult patients with KRAS G12C-mutated metastatic colorectal cancer (mCRC), as determined by an FDA-approved test, who have received prior fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy.
2025-01-16	FDA approves acalabrutinib with bendamustine and rituximab for previously untreated mantle cell lymphoma	On January 16, 2025, the Food and Drug Administration granted traditional approval to acalabrutinib (Calquence, AstraZeneca) with bendamustine and rituximab for adults with previously untreated mantle cell lymphoma (MCL) who are ineligible for autologous hematopoietic stem cell transplantation (HSCT).
2024-12-27	FDA approves nivolumab and hyaluronidase-nvhy for subcutaneous injection	On December 27, 2024, the Food and Drug Administration approved nivolumab and hyaluronidase-nvhy (Opdivo Qvantig, Bristol Myers Squibb Company) for subcutaneous injection across approved adult, solid tumor nivolumab (Opdivo, Bristol Myers Squibb Company) indications as monotherapy, monotherapy maintenance following completion of Opdivo plus Yervoy (ipilimumab) combination therapy, or in combination with chemotherapy or cabozantinib.
2024-12-20	FDA grants accelerated approval to encorafenib with cetuximab and mFOLFOX6 for metastatic colorectal cancer with a BRAF V600E mutation	On December 20, 2024, the Food and Drug Administration granted accelerated approval to encorafenib (Braftovi, Array BioPharma Inc., a subsidiary of Pfizer Inc.) with cetuximab and mFOLFOX6 for patients with metastatic colorectal cancer (mCRC) with a BRAF V600E mutation, as detected by an FDA-approved test.
2024-12-18	FDA approves remestemcel-L-rknd for steroid-refractory acute graft versus host disease in pediatric patients	On December 18, 2024, the Food and Drug Administration approved remestemcel-L-rknd (Ryoncil, Mesoblast, Inc.), an allogeneic bone marrow-derived mesenchymal stromal cell (MSC) therapy, for steroid-refractory acute graft versus host disease (SR-aGVHD) in pediatric patients 2 months of age and older. Ryoncil is the first FDA-approved MSC therapy.
2024-12-18	FDA approves ensartinib for ALK-positive locally advanced or metastatic non-small cell lung cancer	On December 18, 2024, the Food and Drug Administration approved ensartinib (Ensacove, Xcovery Holdings, Inc.) for adult patients with anaplastic lymphoma kinase (ALK)-positive locally advanced or metastatic non-small cell lung cancer (NSCLC) who have not previously received an ALK-inhibitor.
2024-12-13	FDA approves cosibelimab-ipdl for metastatic or locally advanced cutaneous squamous cell carcinoma	On December 13, 2024, the Food and Drug Administration approved cosibelimab-ipdl (Unloxcyt, Checkpoint Therapeutics, Inc.), a programmed death ligand-1 (PD-L1) blocking antibody, for adults with metastatic cutaneous squamous cell carcinoma (mCSCC) or locally advanced CSCC (laCSCC) who are not candidates for curative surgery or curative radiation.
2024-12-04	FDA approves durvalumab for limited-stage small cell lung cancer	On December 4, 2024, the Food and Drug Administration approved durvalumab (Imfinzi, AstraZeneca) for adults with limited-stage small cell lung cancer (LS-SCLC) whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy.
2024-12-04	FDA grants accelerated approval to zenocutuzumab-zbco for non-small cell lung cancer and pancreatic adenocarcinoma	On December 4, 2024, the Food and Drug Administration granted accelerated approval to zenocutuzumab-zbco (Bizengri, Merus N.V.) for adults with the following: advanced, unresectable, or metastatic non-small cell lung cancer (NSCLC) harboring a neuregulin 1 (NRG1) gene fusion with disease progression on or after prior systemic therapy, or advanced, unresectable, or metastatic pancreatic adenocarcinoma harboring a NRG1 gene fusion with disease progression on or after prior systemic therapy.
2024-11-21	FDA grants accelerated approval to zanidatamab-hrii for previously treated unresectable or metastatic HER2-positive biliary tract cancer	On November 20, 2024, the Food and Drug Administration granted accelerated approval to zanidatamab-hrii (Ziihera, Jazz Pharmaceuticals, Inc.), a bispecific HER2-directed antibody, for previously treated, unresectable or metastatic HER2-positive (IHC 3+) biliary tract cancer (BTC), as detected by an FDA-approved test.
2024-11-19	FDA approves updated drug labeling for fludarabine phosphate under Project Renewal	On November 19, 2024, the Food and Drug Administration approved updated drug labeling for fludarabine phosphate (Fludarabine Phosphate Injection, Sandoz) under Project Renewal, an Oncology Center of Excellence (OCE) initiative aimed at updating labeling information for certain older oncology drugs to ensure information is clinically meaningful and scientifically up to date.
2024-11-15	FDA approves revumenib for relapsed or refractory acute leukemia with a KMT2A translocation	On November 15, 2024, the Food and Drug Administration approved revumenib (Revuforj, Syndax Pharmaceuticals, Inc.), a menin inhibitor, for relapsed or refractory acute leukemia with a lysine methyltransferase 2A gene (KMT2A) translocation in adult and pediatric patients 1 year and older.
2024-11-08	FDA approves obecabtagene autoleucel for adults with relapsed or refractory B-cell precursor acute lymphoblastic leukemia	On November 8, 2024, the Food and Drug Administration approved obecabtagene autoleucel (Aucatzyl, Autolus Inc.), a CD19-directed genetically modified autologous T cell immunotherapy, for adults with relapsed or refractory B-cell precursor acute lymphoblastic leukemia (ALL).
2024-10-29	FDA grants accelerated approval to asciminib for newly diagnosed chronic myeloid leukemia	On October 29, 2024, the Food and Drug Administration granted accelerated approval to asciminib (Scemblix, Novartis AG) for adult patients with newly diagnosed Philadelphia chromosome-positive chronic myeloid leukemia (Ph+ CML) in chronic phase (CP).
2024-10-18	FDA approves zolbetuximab-clzb with chemotherapy for gastric or gastroesophageal junction adenocarcinoma	On October 18, 2024, the Food and Drug Administration approved zolbetuximab-clzb (Vyloy, Astellas Pharma US, Inc.), a claudin 18.2 (CLDN18.2)-directed cytolytic antibody, with fluoropyrimidine- and platinum-containing chemotherapy, for the first-line treatment of adults with locally advanced unresectable or metastatic human epidermal growth factor receptor 2 (HER2)-negative gastric or gastroesophageal junction (GEJ) adenocarcinoma whose tumors are CLDN18.2 positive, as determined by an FDA-approved test.
2024-10-10	FDA approves inavolisib with palbociclib and fulvestrant for endocrine-resistant, PIK3CA-mutated, HR-positive, HER2-negative, advanced breast cancer	On October 10, 2024, the Food and Drug Administration approved inavolisib (Itovebi, Genentech, Inc.) with palbociclib and fulvestrant for adults with endocrine-resistant, PIK3CA-mutated, hormone receptor (HR)-positive, human epidermal growth-factor receptor 2 (HER2)-negative, locally advanced or metastatic breast cancer, as detected by an FDA-approved test, following recurrence on or after completing adjuvant endocrine therapy.
2024-10-03	FDA approves neoadjuvant/adjuvant nivolumab for resectable non-small cell lung cancer	On October 3, 2024, the Food and Drug Administration approved nivolumab (Opdivo, Bristol Myers Squibb Company) with platinum-doublet chemotherapy as neoadjuvant treatment, followed by single-agent nivolumab after surgery as adjuvant treatment, for adults with resectable (tumors ≥ 4 cm and/or node positive) non-small cell lung cancer (NSCLC) and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements.
2024-09-27	FDA approves selpercatinib for medullary thyroid cancer with a RET mutation	On September 27, 2024, the Food and Drug Administration granted traditional approval to selpercatinib (Retevmo, Eli Lilly and Company) for adult and pediatric patients 2 years of age and older with advanced or metastatic medullary thyroid cancer (MTC) with a RET mutation, as detected by an FDA-approved test, who require systemic therapy.
2024-09-25	FDA approves osimertinib for locally advanced, unresectable (stage III) non-small cell lung cancer following chemoradiation therapy	On September 25, 2024, the Food and Drug Administration approved osimertinib (Tagrisso, AstraZeneca Pharmaceuticals) for adult patients with locally advanced, unresectable (stage III) non-small cell lung cancer (NSCLC) whose disease has not progressed during or following concurrent or sequential platinum-based chemoradiation therapy and whose tumors have EGFR exon 19 deletions or exon 21 L858R mutations, as detected by an FDA-approved test.
2024-09-20	FDA approves isatuximab-irfc with bortezomib, lenalidomide, and dexamethasone for newly diagnosed multiple myeloma	On September 20, 2024, the Food and Drug Administration approved isatuximab-irfc (Sarclisa, Sanofi-Aventis U.S. LLC) with bortezomib, lenalidomide, and dexamethasone for adults with newly diagnosed multiple myeloma who are not eligible for autologous stem cell transplant (ASCT).
2024-09-19	FDA approves amivantamab-vmjw with carboplatin and pemetrexed for non-small cell lung cancer with EGFR exon 19 deletions or L858R mutations	On September 19, 2024, the Food and Drug Administration approved amivantamab-vmjw (Rybrevant, Janssen Biotech, Inc.) with carboplatin and pemetrexed for adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R substitution mutations whose disease has progressed on or after treatment with an EGFR tyrosine kinase inhibitor.
2024-09-17	FDA approves pembrolizumab with chemotherapy for unresectable advanced or metastatic malignant pleural mesothelioma	On September 17, 2024, the Food and Drug Administration approved pembrolizumab (Keytruda, Merck) with pemetrexed and platinum chemotherapy as first-line treatment of unresectable advanced or metastatic malignant pleural mesothelioma (MPM).
2024-09-17	FDA approves Kisqali with an aromatase inhibitor and Kisqali Femara Co-Pack for early high-risk breast cancer	On September 17, 2024, the Food and Drug Administration approved ribociclib (Kisqali, Novartis Pharmaceuticals Corporation) with an aromatase inhibitor for the adjuvant treatment of adults with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative stage II and III early breast cancer at high risk of recurrence. Additionally, FDA also approved the ribociclib and letrozole co-pack (Kisqali Femara Co-Pack, Novartis Pharmaceuticals Corporation) for the same indication.
2024-09-12	FDA approves atezolizumab and hyaluronidase-tqjs for subcutaneous injection	On September 12, 2024, the Food and Drug Administration approved atezolizumab and hyaluronidase-tqjs (Tecentriq Hybreza, Genentech, Inc.) for subcutaneous injection for all the adult indications as the intravenous formulation of atezolizumab (Tecentriq, Genentech, Inc.), including non-small cell lung cancer (NSCLC), small cell lung cancer (SCLC), hepatocellular carcinoma (HCC), melanoma, and alveolar soft part sarcoma (ASPS). See the prescribing information for the specific indications.
2024-08-19	FDA approves lazertinib with amivantamab-vmjw for non-small lung cancer	On August 19, 2024, the Food and Drug Administration approved lazertinib (Lazcluze, Janssen Biotech, Inc.) in combination with amivantamab-vmjw (Rybrevant, Janssen Biotech, Inc.) for the first-line treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 L858R substitution mutations, as detected by an FDA-approved test.
2024-08-15	FDA approves neoadjuvant/adjuvant durvalumab for resectable non-small cell lung cancer	On August 15, 2024, the Food and Drug Administration approved durvalumab (Imfinzi, AstraZeneca) with platinum-containing chemotherapy as neoadjuvant treatment, followed by single-agent durvalumab as adjuvant treatment after surgery for adults with resectable (tumors ≥ 4 cm and/or node positive) non-small cell lung cancer (NSCLC) and no known epidermal growth factor receptor (EGFR) mutations or anaplastic lymphoma kinase (ALK) rearrangements.
2024-08-14	FDA approves axatilimab-csfr for chronic graft-versus-host disease	On August 14, 2024, the Food and Drug Administration approved axatilimab-csfr (Niktimvo, Incyte Corporation), a colony stimulating factor-1 receptor-blocking antibody, for the treatment of chronic graft-versus-host disease (cGVHD) after failure of at least two prior lines of systemic therapy in adult and pediatric patients weighing at least 40 kg.
2024-08-06	FDA approves vorasidenib for Grade 2 astrocytoma or oligodendroglioma with a susceptible IDH1 or IDH2 mutation	On August 6, 2024, the Food and Drug Administration approved vorasidenib (Voranigo, Servier Pharmaceuticals LLC), an isocitrate dehydrogenase-1 (IDH1) and isocitrate dehydrogenase-2 (IDH2) inhibitor, for adult and pediatric patients 12 years and older with Grade 2 astrocytoma or oligodendroglioma with a susceptible IDH1 or IDH2 mutation, following surgery including biopsy, sub-total resection, or gross total resection.
2024-08-02	FDA grants accelerated approval to afamitresgene autoleucel for unresectable or metastatic synovial sarcoma	On August 2, 2024, the Food and Drug Administration granted accelerated approval to afamitresgene autoleucel (TECELRA, Adaptimmune, LLC), a melanoma-associated antigen A4 (MAGE-A4)-directed genetically modified autologous T cell immunotherapy, for adults with unresectable or metastatic synovial sarcoma who have received prior chemotherapy, are HLA-A*02:01P, -A*02:02P, -A*02:03P, or -A*02:06P positive and whose tumor expresses the MAGE-A4 antigen as determined by FDA-approved or cleared companion diagnostic devices.
2024-08-01	FDA expands endometrial cancer indication for dostarlimab-gxly with chemotherapy	On August 1, 2024, the Food and Drug Administration approved dostarlimab-gxly (Jemperli, GSK) with carboplatin and paclitaxel, followed by single-agent dostarlimab-gxly, for adult patients with primary advanced or recurrent endometrial cancer (EC).
2024-07-30	FDA approves daratumumab and hyaluronidase-fihj with bortezomib, lenalidomide, and dexamethasone for multiple myeloma	On July 30, 2024, the Food and Drug Administration approved daratumumab and hyaluronidase-fihj (Darzalex Faspro, Janssen Research & Development, LLC) in combination with bortezomib, lenalidomide, and dexamethasone for induction and consolidation in patients with newly diagnosed multiple myeloma who are eligible for autologous stem cell transplant (ASCT).
2024-06-26	FDA grants accelerated approval to epcoritamab-bysp for relapsed or refractory follicular lymphoma	On June 26, 2024, the Food and Drug Administration granted accelerated approval to epcoritamab-bysp (Epkinly, Genmab US, Inc.), a bispecific CD20-directed CD3 T-cell engager, for adult patients with relapsed or refractory follicular lymphoma (FL) after two or more lines of systemic therapy.
2024-06-21	FDA grants accelerated approval to adagrasib with cetuximab for KRAS G12C-mutated colorectal cancer	On June 21, 2024, the Food and Drug Administration granted accelerated approval to adagrasib (Krazati; Mirati Therapeutics, Inc.) plus cetuximab for adults with KRAS G12C-mutated locally advanced or metastatic colorectal cancer (CRC), as determined by an FDA-approved test, who have received prior treatment with fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy.
2024-06-17	FDA approves pembrolizumab with chemotherapy for primary advanced or recurrent endometrial carcinoma	On June 17, 2024, the Food and Drug Administration approved pembrolizumab (Keytruda, Merck) with carboplatin and paclitaxel, followed by single-agent pembrolizumab, for adult patients with primary advanced or recurrent endometrial carcinoma.
2024-06-14	FDA approves blinatumomab as consolidation for CD19-positive Philadelphia chromosome-negative B-cell precursor acute lymphoblastic leukemia	On June 14, 2024, the Food and Drug Administration approved blinatumomab (Blincyto, Amgen Inc.) for adult and pediatric patients one month and older with CD19-positive Philadelphia chromosome-negative B-cell precursor acute lymphoblastic leukemia (Ph-negative BCP ALL) in the consolidation phase of multiphase chemotherapy.
2024-06-14	FDA approves durvalumab with chemotherapy for mismatch repair deficient primary advanced or recurrent endometrial cancer	On June 14, 2024, the Food and Drug Administration approved durvalumab (Imfinzi, AstraZeneca UK Limited) with carboplatin plus paclitaxel followed by single-agent durvalumab for adult patients with primary advanced or recurrent endometrial cancer that is mismatch repair deficient (dMMR).
2024-06-13	FDA grants accelerated approval to repotrectinib for adult and pediatric patients with NTRK gene fusion-positive solid tumors	On June 13, 2024, the Food and Drug Administration granted accelerated approval to repotrectinib (AUGTYRO, Bristol-Myers Squibb Company) for adult and pediatric patients 12 years and older with solid tumors that have a neurotrophic tyrosine receptor kinase ( NTRK ) gene fusion, are locally advanced or metastatic or where surgical resection is likely to result in severe morbidity, and that have progressed following treatment or have no satisfactory alternative therapy.
2024-06-12	FDA approves selpercatinib for RET fusion-positive thyroid cancer	On June 12, 2024, the Food and Drug Administration granted traditional approval to selpercatinib (Retevmo, Eli Lilly and Company) for adult and pediatric patients 2 years of age and older with advanced or metastatic RET fusion-positive thyroid cancer who require systemic therapy and who are radioactive iodine-refractory (if radioactive iodine is appropriate).
2024-06-06	FDA approves imetelstat for low- to intermediate-1 risk myelodysplastic syndromes with transfusion-dependent anemia	On June 6, 2024, the Food and Drug Administration approved imetelstat (Rytelo, Geron Corporation), an oligonucleotide telomerase inhibitor, for adults with low- to intermediate-1 risk myelodysplastic syndromes (MDS) with transfusion-dependent anemia requiring four or more red blood cell units over 8 weeks who have not responded to or have lost response to or are ineligible for erythropoiesis-stimulating agents (ESAs).
2024-05-30	FDA approves lisocabtagene maraleucel for relapsed or refractory mantle cell lymphoma	On May 30, 2024, the Food and Drug Administration approved lisocabtagene maraleucel (Breyanzi, Juno Therapeutics, Inc.) for adult patients with relapsed or refractory mantle cell lymphoma (MCL) who have received at least two prior lines of systemic therapy, including a Bruton tyrosine kinase inhibitor (BTKi).
2024-05-29	FDA grants accelerated approval to selpercatinib for pediatric patients two years and older with RET-altered metastatic thyroid cancer or solid tumors	On May 29, 2024, the Food and Drug Administration granted accelerated approval to selpercatinib (Retevmo, Eli Lilly and Company) for pediatric patients two years of age and older.
2024-05-16	FDA grants accelerated approval to tarlatamab-dlle for extensive stage small cell lung cancer	On May 16, 2024, the Food and Drug Administration granted accelerated approval to tarlatamab-dlle (Imdelltra, Amgen, Inc.) for extensive stage small cell lung cancer (ES-SCLC) with disease progression on or after platinum-based chemotherapy.
2024-05-15	FDA grants accelerated approval to lisocabtagene maraleucel for follicular lymphoma	On May 15, 2024, the Food and Drug Administration granted accelerated approval to lisocabtagene maraleucel (Breyanzi, Juno Therapeutics, Inc.) for adults with relapsed or refractory follicular lymphoma (FL) who have received two or more prior lines of systemic therapy.
2024-04-29	FDA approves tisotumab vedotin-tftv for recurrent or metastatic cervical cancer	On April 29, 2024, the Food and Drug Administration granted traditional approval to tisotumab vedotin-tftv (Tivdak, Seagen Inc. [now a part of Pfizer Inc.]) for recurrent or metastatic cervical cancer with disease progression on or after chemotherapy. Tisotumab vedotin-tftv previously received accelerated approval for this indication.
2024-04-23	FDA grants accelerated approval to tovorafenib for patients with relapsed or refractory BRAF-altered pediatric low-grade glioma	On April 23, 2024, the Food and Drug Administration granted accelerated approval to tovorafenib (Ojemda, Day One Biopharmaceuticals, Inc.) for patients 6 months of age and older with relapsed or refractory pediatric low-grade glioma (LGG) harboring a BRAF fusion or rearrangement, or BRAF V600 mutation.
2024-04-23	FDA approves lutetium Lu 177 dotatate for pediatric patients 12 years and older with GEP-NETS	On April 23, 2024, the Food and Drug Administration approved lutetium Lu 177 dotatate (Lutathera, Advanced Accelerator Applications USA, Inc., a Novartis company) for pediatric patients 12 years and older with somatostatin receptor (SSTR)-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs), including foregut, midgut, and hindgut neuroendocrine tumors. Lutetium Lu 177 dotatate received approval for this indication for adults in 2018.
2024-04-22	FDA approves nogapendekin alfa inbakicept-pmln for BCG-unresponsive non-muscle invasive bladder cancer	On April 22, 2024, the Food and Drug Administration approved nogapendekin alfa inbakicept-pmln (Anktiva, Altor BioScience, LLC) with Bacillus Calmette-Guérin (BCG) for adult patients with BCG-unresponsive non-muscle invasive bladder cancer (NMIBC) with carcinoma in situ (CIS) with or without papillary tumors.
2024-04-18	FDA approves alectinib as adjuvant treatment for ALK-positive non-small cell lung cancer	On April 18, 2024, the Food and Drug Administration approved alectinib (Alecensa, Genentech, Inc.) for adjuvant treatment following tumor resection in patients with anaplastic lymphoma kinase (ALK)-positive non-small cell lung cancer (NSCLC), as detected by an FDA-approved test.
2024-04-05	FDA grants accelerated approval to fam-trastuzumab deruxtecan-nxki for unresectable or metastatic HER2-positive solid tumors	On April 5, 2024, the Food and Drug Administration granted accelerated approval to fam-trastuzumab deruxtecan-nxki (Enhertu, Daiichi Sankyo, Inc.) for adult patients with unresectable or metastatic HER2-positive (IHC3+) solid tumors who have received prior systemic treatment and have no satisfactory alternative treatment options.
